name,deck_amount,card_type,monster_type,level,tags
ニャンニャン,1,モンスター,サイキック族,3,電脳NS
ルゥルゥ,3,モンスター,サイキック族,3,電脳SS
ラオラオ,2,モンスター,サイキック族,6,電脳SS
チィチィ,3,モンスター,幻竜族,3,電脳SS
リィリィ,3,モンスター,幻竜族,6,電脳SS
トゥトゥ,1,モンスター,幻竜族,6,電脳NS
青龍,3,魔法,,,
九龍,3,魔法,,,
緊急テレポート,2,魔法,,,
朱雀,2,罠,,,
玄武,1,罠,,,
G,3,モンスター,昆虫族,2,"誘発,ターン1"
はるうらら,3,モンスター,アンデット族,3,"誘発,誘発防御,ターン1"
PSYフレームギアγ,2,モンスター,サイキック族,2,"誘発,誘発防御"
PSYフレームドライバー,1,モンスター,サイキック族,6,
D.D.クロウ,0,モンスター,鳥獣族,1,誘発
無限泡影,0,罠,,,誘発
墓穴の指名者,2,魔法,,,"妨害,誘発防御"
冥王結界波,2,魔法,,,捲り
禁じられた一滴,0,魔法,,,捲り
サンダーボルト,0,魔法,,,捲り
ライトニングストーム,0,魔法,,,捲り
金満で謙虚な壺,3,魔法,,,壺
